Relative_Humidity_Percentage,Indoor_Temperature_C,Outdoor_Temperature_C,Date
46,21.02,8.8,2017-03-17 15:43:23
46,20.71,8.8,2017-03-17 15:53:26
46,20.39,8.4,2017-03-17 16:03:29
46,20.08,8.4,2017-03-17 16:13:32
46,19.92,10.1,2017-03-17 16:23:35
46,19.61,10.1,2017-03-17 16:33:38
46,19.45,12.4,2017-03-17 16:43:42
46,19.29,12.4,2017-03-17 16:53:44
46,19.14,15.3,2017-03-17 17:03:47
46,18.82,15.3,2017-03-17 17:23:54
46,18.67,16.8,2017-03-17 17:33:59
46,18.82,16.8,2017-03-17 17:44:02
46,19.14,17.5,2017-03-17 17:54:07
46,19.29,17.5,2017-03-17 18:04:12
46,19.14,19.1,2017-03-17 18:14:17
46,19.14,19.1,2017-03-17 18:23:51
46,19.14,20.4,2017-03-17 19:54:23
47,18.82,20.4,2017-03-17 20:54:46
47,18.67,20.3,2017-03-17 21:04:50
43,18.51,20.3,2017-03-17 21:35:02
39,18.98,19.8,2017-03-17 21:45:05
36,20.24,19.8,2017-03-18 13:59:01
37,21.18,18.8,2017-03-18 14:08:38
38,21.96,18.8,2017-03-18 14:18:42
39,22.43,18.2,2017-03-18 14:28:45
40,22.59,18.2,2017-03-18 14:38:48
40,22.9,16.9,2017-03-18 14:48:20
40,23.06,16.9,2017-03-18 14:58:24
40,23.37,14.8,2017-03-18 15:08:27
41,23.69,14.8,2017-03-18 15:18:31
41,23.37,13.5,2017-03-18 15:28:34
40,23.06,13.5,2017-03-18 15:38:37
40,22.75,12.5,2017-03-18 15:48:40
40,22.27,12.5,2017-03-18 15:58:43
41,21.96,11.6,2017-03-18 16:08:46
41,21.49,11.6,2017-03-18 16:18:49
41,21.18,10.8,2017-03-18 16:28:51
42,20.86,9.9,2017-03-18 16:48:57
43,20.71,9.9,2017-03-18 16:58:59
43,20.55,9.3,2017-03-18 17:09:02
43,20.39,9.3,2017-03-18 17:19:05
44,20.24,8.8,2017-03-18 17:29:08
44,20.08,8.8,2017-03-18 17:49:13
44,19.92,8.2,2017-03-18 18:09:19
44,19.76,8.2,2017-03-18 23:00:06
44,19.45,7.5,2017-03-18 23:20:12
44,19.29,7.5,2017-03-18 23:30:14
44,19.14,6.8,2017-03-19 07:51:27
44,18.98,6.8,2017-03-19 08:01:31
44,17.25,8.2,2017-03-19 08:11:35
44,17.1,8.2,2017-03-19 08:21:41
44,16.94,11.3,2017-03-19 08:31:44
44,17.1,11.3,2017-03-19 08:41:48
44,16.94,14.9,2017-03-19 08:51:51
44,16.78,14.9,2017-03-19 09:01:55
44,16.47,18.0,2017-03-19 09:11:58
44,16.16,18.0,2017-03-19 09:22:01
44,16.47,18.8,2017-03-19 09:32:04
44,16.63,18.8,2017-03-19 09:42:07
44,16.16,21.2,2017-03-19 09:52:10
44,15.37,21.2,2017-03-19 10:02:14
45,15.22,23.5,2017-03-19 10:12:17
45,15.53,23.5,2017-03-19 10:21:50
45,16.0,24.2,2017-03-19 10:31:55
45,16.63,24.2,2017-03-19 10:41:58
46,16.94,24.2,2017-03-19 10:52:01
46,17.1,24.2,2017-03-19 11:02:05
47,17.25,23.3,2017-03-19 11:12:08
47,17.1,23.3,2017-03-19 11:22:10
48,16.94,22.4,2017-03-19 11:32:13
48,16.78,22.4,2017-03-19 11:42:16
48,16.63,21.6,2017-03-19 11:52:19
48,16.63,21.6,2017-03-19 12:02:21
48,16.63,19.9,2017-03-19 12:12:25
49,16.47,19.9,2017-03-19 12:22:27
49,16.78,17.9,2017-03-19 12:32:30
49,18.04,17.9,2017-03-19 12:42:32
49,19.29,16.2,2017-03-19 12:52:35
49,20.24,16.2,2017-03-19 13:02:40
49,20.86,14.1,2017-03-19 13:12:42
49,21.02,14.1,2017-03-19 13:22:16
50,21.8,14.1,2017-03-19 13:32:19
50,22.12,13.2,2017-03-19 13:42:23
50,21.8,13.2,2017-03-19 13:52:26
50,21.49,12.1,2017-03-19 14:02:49
50,21.02,11.3,2017-03-19 14:12:47
50,20.55,11.3,2017-03-19 14:22:49
51,20.24,10.7,2017-03-19 14:32:52
51,19.92,10.7,2017-03-19 14:42:55
51,19.61,10.0,2017-03-19 14:52:58
51,19.45,10.0,2017-03-19 15:03:02
51,19.14,9.2,2017-03-19 15:13:05
51,18.82,9.2,2017-03-19 15:23:08
51,18.35,8.7,2017-03-19 15:33:10
50,18.2,8.7,2017-03-19 15:43:13
51,18.04,8.2,2017-03-19 15:53:16
51,17.88,8.2,2017-03-19 16:03:19
50,17.73,8.9,2017-03-19 16:12:53
50,17.41,8.9,2017-03-19 16:22:55
50,17.25,11.1,2017-03-19 16:32:58
50,18.51,11.1,2017-03-19 16:43:00
50,19.92,14.5,2017-03-19 16:53:03
50,20.86,14.5,2017-03-19 17:03:05
50,21.8,19.6,2017-03-19 17:13:09
50,22.43,19.6,2017-03-19 17:23:11
50,22.9,20.7,2017-03-19 17:33:13
40,23.22,20.7,2017-03-19 17:43:16
32,23.69,22.7,2017-03-19 17:53:19
30,23.06,22.7,2017-03-19 18:03:22
33,22.59,23.5,2017-03-19 18:33:00
35,22.43,23.5,2017-03-19 19:33:12
36,22.59,22.9,2017-03-19 19:43:15
37,22.9,22.9,2017-03-19 20:33:29
38,23.06,22.2,2017-03-19 21:03:36
39,22.75,22.2,2017-03-19 21:23:44
39,22.43,21.8,2017-03-19 22:04:03
40,21.96,21.8,2017-03-20 06:25:17
41,21.49,21.1,2017-03-20 06:35:21
41,21.02,21.1,2017-03-20 06:45:26
41,20.71,19.9,2017-03-20 06:55:30
42,20.39,19.9,2017-03-20 07:05:36
42,20.08,18.1,2017-03-20 07:15:39
42,19.92,18.1,2017-03-20 07:25:45
42,19.76,17.3,2017-03-20 07:35:51
42,19.45,17.3,2017-03-20 07:45:56
42,19.29,16.2,2017-03-20 07:56:01
42,19.14,16.2,2017-03-20 08:05:36
42,18.98,16.1,2017-03-20 08:15:43
42,18.82,16.1,2017-03-20 08:25:47
42,18.67,15.4,2017-03-20 08:35:51
42,18.51,15.4,2017-03-20 08:45:55
43,18.2,14.7,2017-03-20 08:55:58
43,18.04,14.7,2017-03-20 09:06:03
43,17.88,13.8,2017-03-20 09:15:05
43,17.73,13.8,2017-03-20 09:25:09
43,17.73,12.8,2017-03-20 09:34:42
43,17.73,12.8,2017-03-20 09:44:46
43,18.67,12.5,2017-03-20 09:54:49
43,19.76,12.5,2017-03-20 10:04:22
43,20.71,12.2,2017-03-20 10:14:27
43,21.65,12.2,2017-03-20 10:24:30
42,22.27,11.9,2017-03-20 10:34:34
42,22.75,11.9,2017-03-20 10:44:37
42,23.06,12.0,2017-03-20 10:54:40
42,23.22,12.0,2017-03-20 11:04:42
42,23.37,11.8,2017-03-20 11:14:46
42,23.53,11.8,2017-03-20 11:24:48
42,23.69,12.7,2017-03-20 11:34:51
42,23.84,12.7,2017-03-20 11:44:54
42,24.0,14.3,2017-03-20 11:54:57
42,23.69,14.3,2017-03-20 12:04:30
42,23.37,15.2,2017-03-20 12:14:34
42,23.06,15.2,2017-03-20 12:24:37
42,22.12,17.0,2017-03-20 12:44:42
42,21.8,17.0,2017-03-20 12:54:45
42,21.33,18.5,2017-03-20 13:04:18
42,21.02,18.5,2017-03-20 13:13:51
42,20.71,19.3,2017-03-20 13:23:54
42,20.39,19.3,2017-03-20 13:33:28
42,20.24,19.6,2017-03-20 13:43:31
42,20.08,19.6,2017-03-20 13:53:34
42,19.92,18.1,2017-03-20 14:03:37
42,19.76,18.1,2017-03-20 14:06:16
42,19.45,16.4,2017-03-20 14:13:07
42,19.29,16.4,2017-03-20 14:23:11
42,19.14,15.7,2017-03-20 14:33:14
42,18.67,15.7,2017-03-20 14:43:17
43,18.51,15.3,2017-03-20 14:53:20
43,18.2,15.3,2017-03-20 15:03:24
43,18.04,14.4,2017-03-20 15:13:26
43,17.88,14.4,2017-03-20 15:23:30
43,18.82,13.5,2017-03-20 15:33:33
43,20.08,13.5,2017-03-20 15:43:35
43,20.86,12.6,2017-03-20 15:53:08
43,21.02,12.6,2017-03-20 16:03:10
44,21.65,12.2,2017-03-20 16:12:43
44,22.27,12.2,2017-03-20 16:22:45
44,22.75,12.1,2017-03-20 16:32:48
44,22.9,12.0,2017-03-20 16:42:21
44,23.06,11.0,2017-03-20 16:52:23
44,22.75,11.0,2017-03-20 17:02:26
44,22.43,10.7,2017-03-20 17:12:29
44,22.12,10.7,2017-03-20 17:22:33
44,21.49,10.4,2017-03-20 17:32:37
44,21.02,10.4,2017-03-20 17:42:42
44,20.71,9.5,2017-03-20 17:52:49
44,20.39,9.5,2017-03-20 18:02:53
44,20.08,9.1,2017-03-20 18:12:58
44,19.92,9.1,2017-03-20 18:22:33
44,19.76,9.6,2017-03-20 18:32:37
44,19.45,9.6,2017-03-20 18:42:41
43,19.29,11.4,2017-03-20 19:12:53
43,19.14,11.4,2017-03-20 19:22:56
43,18.82,13.3,2017-03-20 20:13:10
43,18.67,13.3,2017-03-20 20:23:13
43,18.51,15.6,2017-03-20 21:13:27
43,18.35,15.6,2017-03-20 21:43:43
43,18.2,16.3,2017-03-21 06:25:41
43,18.04,16.3,2017-03-21 06:45:49
43,18.04,16.0,2017-03-21 06:55:54
43,18.04,16.0,2017-03-21 07:05:30
43,17.88,15.0,2017-03-21 07:15:36
43,17.73,15.0,2017-03-21 07:25:40
39,18.51,14.0,2017-03-21 07:35:47
41,19.92,14.0,2017-03-21 07:45:51
42,20.86,14.7,2017-03-21 07:55:57
42,21.8,14.7,2017-03-21 08:06:02
43,22.43,15.1,2017-03-21 08:16:07
43,22.75,15.1,2017-03-21 08:26:10
43,22.9,14.8,2017-03-21 08:36:14
44,23.06,14.8,2017-03-21 08:46:18
44,23.22,14.2,2017-03-21 08:56:21
44,23.37,14.2,2017-03-21 09:06:24
44,23.69,13.2,2017-03-21 09:15:58
45,23.84,13.2,2017-03-21 09:26:01
45,23.37,12.3,2017-03-21 09:36:05
45,23.06,12.3,2017-03-21 09:46:08
45,22.59,11.5,2017-03-21 09:56:11
46,22.27,11.5,2017-03-21 10:06:14
46,21.8,10.8,2017-03-21 10:16:17
46,21.33,10.8,2017-03-21 10:26:20
46,21.02,10.8,2017-03-21 10:35:53
47,20.71,10.1,2017-03-21 10:55:29
47,20.55,10.1,2017-03-21 11:05:32
47,20.24,9.6,2017-03-21 11:15:35
48,20.08,8.6,2017-03-21 11:25:38
49,19.92,8.6,2017-03-21 11:35:41
49,19.76,8.0,2017-03-21 11:45:44
49,19.45,8.0,2017-03-21 11:55:46
49,19.29,7.2,2017-03-21 12:05:50
49,19.14,7.2,2017-03-21 12:25:56
49,18.98,6.2,2017-03-21 12:35:59
49,18.51,6.2,2017-03-21 12:46:02
49,18.2,5.9,2017-03-21 12:56:05
49,18.04,5.9,2017-03-21 13:05:37
50,17.88,7.5,2017-03-21 13:15:40
50,17.73,7.5,2017-03-21 13:35:46
50,18.51,8.5,2017-03-21 13:45:50
50,19.61,8.5,2017-03-21 13:55:52
50,20.55,11.3,2017-03-21 14:05:55
50,21.18,11.3,2017-03-21 14:09:33
50,21.96,12.5,2017-03-21 14:15:55
50,22.27,12.5,2017-03-21 14:26:00
50,22.43,13.3,2017-03-21 14:36:03
50,22.59,13.3,2017-03-21 14:46:06
50,22.9,14.2,2017-03-21 14:56:09
50,22.59,14.2,2017-03-21 15:06:12
50,22.27,13.8,2017-03-21 15:16:15
51,21.96,13.8,2017-03-21 15:26:19
51,21.33,11.7,2017-03-21 15:36:21
51,21.02,11.7,2017-03-21 15:46:24
50,20.71,11.4,2017-03-21 15:56:27
41,20.24,11.4,2017-03-21 16:06:31
40,20.08,11.8,2017-03-21 16:16:34
40,19.76,11.8,2017-03-21 16:26:37
41,19.29,11.6,2017-03-21 16:36:39
41,19.14,11.6,2017-03-21 16:46:42
42,18.98,11.0,2017-03-21 16:56:44
42,18.82,11.0,2017-03-21 17:06:48
43,18.67,9.9,2017-03-21 17:16:51
43,18.51,9.9,2017-03-21 17:26:55
43,18.2,8.7,2017-03-21 17:36:59
44,18.04,8.7,2017-03-21 17:47:03
44,17.88,7.6,2017-03-21 17:57:07
44,17.73,7.6,2017-03-21 18:07:12
44,17.57,7.1,2017-03-21 18:27:20
45,17.41,7.1,2017-03-21 18:37:24
45,17.25,6.2,2017-03-21 18:47:30
45,17.25,6.2,2017-03-21 18:57:04
45,17.25,5.4,2017-03-21 19:07:08
45,17.1,5.0,2017-03-21 19:17:12
45,18.2,5.0,2017-03-21 20:17:32
45,19.45,4.5,2017-03-21 20:27:37
45,20.55,4.5,2017-03-21 20:37:41
45,21.18,4.1,2017-03-21 21:27:59
44,21.96,4.1,2017-03-22 06:19:53
44,22.27,3.6,2017-03-22 06:50:06
44,22.59,3.6,2017-03-22 07:20:16
44,22.75,3.6,2017-03-22 07:30:21
44,22.9,3.6,2017-03-22 07:50:31
44,23.06,4.4,2017-03-22 08:00:35
44,23.22,4.4,2017-03-22 08:10:08
44,23.37,6.3,2017-03-22 08:20:13
44,23.69,6.3,2017-03-22 08:30:17
44,23.84,9.6,2017-03-22 08:40:21
44,24.0,9.6,2017-03-22 08:50:25
44,23.84,11.5,2017-03-22 09:10:33
44,23.37,11.5,2017-03-22 09:20:36
44,22.9,13.0,2017-03-22 09:30:40
44,22.43,13.0,2017-03-22 09:50:46
43,21.96,13.3,2017-03-22 10:00:49
43,21.33,13.3,2017-03-22 10:10:52
43,21.02,14.1,2017-03-22 10:20:55
43,20.55,14.1,2017-03-22 10:30:59
43,20.24,14.3,2017-03-22 10:41:02
43,20.08,14.3,2017-03-22 10:51:06
43,19.76,13.9,2017-03-22 11:00:39
43,18.67,13.9,2017-03-22 11:10:41
43,18.51,13.9,2017-03-22 11:20:44
43,18.35,13.9,2017-03-22 11:30:47
44,18.2,13.3,2017-03-22 11:40:20
44,18.04,13.3,2017-03-22 11:50:54
44,17.88,12.7,2017-03-22 11:59:57
44,17.73,12.7,2017-03-22 12:09:59
44,17.41,12.0,2017-03-22 12:20:02
44,18.35,12.0,2017-03-22 12:30:06
44,19.45,12.1,2017-03-22 12:40:09
44,20.39,12.1,2017-03-22 13:00:16
44,21.18,11.9,2017-03-22 13:10:19
44,21.8,11.9,2017-03-22 13:20:22
44,22.27,10.9,2017-03-22 13:30:25
44,22.59,10.9,2017-03-22 13:40:28
44,22.75,10.4,2017-03-22 13:50:31
44,23.06,10.4,2017-03-22 14:00:34
44,22.75,9.8,2017-03-22 14:10:37
44,22.43,9.8,2017-03-22 14:13:08
45,21.8,9.8,2017-03-22 14:20:35
45,21.49,8.8,2017-03-22 14:30:39
45,20.86,8.8,2017-03-22 14:40:42
45,20.55,7.7,2017-03-22 14:50:46
45,20.24,7.7,2017-03-22 15:00:18
45,19.92,7.0,2017-03-22 15:10:21
45,19.61,7.0,2017-03-22 15:20:25
45,19.45,6.1,2017-03-22 15:30:28
45,19.14,6.1,2017-03-22 15:40:31
45,18.82,5.5,2017-03-22 15:50:34
45,18.67,5.5,2017-03-22 16:00:36
45,18.51,5.2,2017-03-22 16:10:39
45,18.35,5.2,2017-03-22 16:20:42
45,18.2,5.8,2017-03-22 16:30:44
45,18.04,5.8,2017-03-22 16:40:47
45,17.88,6.4,2017-03-22 16:50:50
45,17.73,6.4,2017-03-22 17:00:53
45,17.41,7.1,2017-03-22 17:10:56
45,17.41,7.1,2017-03-22 17:21:00
45,17.25,7.5,2017-03-22 17:31:05
45,18.51,7.5,2017-03-22 17:51:13
45,19.76,8.2,2017-03-22 18:11:20
45,20.55,8.2,2017-03-23 06:24:03
45,21.18,8.6,2017-03-23 06:34:08
45,21.8,8.6,2017-03-23 06:44:12
45,22.27,9.7,2017-03-23 06:54:16
45,22.59,9.7,2017-03-23 07:04:20
45,22.75,11.0,2017-03-23 07:14:24
45,22.9,11.0,2017-03-23 07:24:27
45,23.06,11.0,2017-03-23 07:44:07
45,23.22,11.0,2017-03-23 08:04:16
45,23.37,11.1,2017-03-23 08:14:20
45,23.53,11.1,2017-03-23 08:24:23
45,23.37,10.8,2017-03-23 08:34:27
45,23.06,10.8,2017-03-23 08:44:30
45,22.59,10.3,2017-03-23 09:14:40
45,22.75,10.3,2017-03-23 09:24:43
45,22.59,9.4,2017-03-23 09:34:46
45,22.27,9.4,2017-03-23 09:44:49
45,21.8,9.0,2017-03-23 09:54:52
45,21.49,8.6,2017-03-23 10:04:56
45,20.86,8.6,2017-03-23 10:14:59
44,20.55,8.4,2017-03-23 10:25:02
44,20.39,8.4,2017-03-23 10:35:05
44,20.08,7.9,2017-03-23 10:45:08
45,19.92,7.9,2017-03-23 10:55:12
45,19.61,7.9,2017-03-23 11:05:15
45,19.45,7.9,2017-03-23 11:15:18
46,19.29,7.9,2017-03-23 11:24:50
46,18.51,7.9,2017-03-23 11:34:53
46,18.35,7.6,2017-03-23 11:44:56
46,18.2,7.6,2017-03-23 12:05:02
46,18.04,7.5,2017-03-23 12:15:05
46,17.88,7.5,2017-03-23 12:25:08
46,18.67,7.5,2017-03-23 12:35:11
48,19.92,7.5,2017-03-23 12:45:14
48,20.55,7.2,2017-03-23 12:55:16
48,21.02,7.2,2017-03-23 13:05:19
48,22.12,7.1,2017-03-23 13:15:21
49,22.43,7.1,2017-03-23 13:25:24
49,22.75,7.9,2017-03-23 13:35:27
50,22.9,7.9,2017-03-23 13:44:59
50,22.59,8.5,2017-03-23 13:55:02
50,22.27,8.5,2017-03-23 14:05:05
50,21.96,9.4,2017-03-23 14:14:38
51,21.49,9.4,2017-03-23 14:16:57
51,21.02,10.5,2017-03-23 14:24:19
51,20.71,10.5,2017-03-23 14:34:22
51,20.39,10.7,2017-03-23 14:44:25
51,20.08,10.7,2017-03-23 14:54:28
51,19.76,11.1,2017-03-23 15:04:32
51,19.45,11.1,2017-03-23 15:14:34
51,19.29,11.9,2017-03-23 15:24:08
51,19.14,11.9,2017-03-23 15:34:11
51,18.98,13.7,2017-03-23 15:44:14
50,18.82,13.7,2017-03-23 15:54:17
50,18.67,13.7,2017-03-23 16:04:20
50,18.51,11.8,2017-03-23 16:14:23
50,18.2,11.8,2017-03-23 16:24:25
51,18.04,11.7,2017-03-23 16:44:30
51,17.88,11.7,2017-03-23 16:54:33
51,17.73,10.8,2017-03-23 17:04:35
51,17.57,10.8,2017-03-23 17:14:38
51,17.57,10.2,2017-03-23 17:24:43
52,17.57,10.2,2017-03-23 17:34:47
52,17.57,9.9,2017-03-23 17:44:50
51,17.57,9.9,2017-03-23 17:54:55
51,17.57,9.9,2017-03-23 18:04:59
51,17.57,9.9,2017-03-23 18:15:03
51,17.57,9.7,2017-03-23 18:25:06
51,17.57,9.7,2017-03-23 18:44:43
51,17.57,9.8,2017-03-23 23:36:09
51,17.57,9.8,2017-03-23 23:46:14
51,17.57,9.8,2017-03-23 23:56:20
51,17.57,9.8,2017-03-24 06:17:37
51,17.57,9.8,2017-03-24 06:37:45
51,17.57,9.8,2017-03-24 06:47:50
51,17.57,9.8,2017-03-24 06:57:54
51,17.57,9.8,2017-03-24 07:07:59
50,17.57,9.8,2017-03-24 07:17:34
50,17.73,9.8,2017-03-24 07:27:39
50,19.29,9.8,2017-03-24 07:37:46
50,20.24,9.8,2017-03-24 07:57:56
49,21.02,9.0,2017-03-24 08:08:01
47,21.8,9.0,2017-03-24 08:18:05
47,22.27,9.3,2017-03-24 08:28:09
47,22.43,9.3,2017-03-24 08:38:13
47,22.59,11.1,2017-03-24 08:48:17
47,22.59,11.1,2017-03-24 08:58:20
48,22.75,12.5,2017-03-24 09:08:25
48,22.75,12.5,2017-03-24 09:18:30
47,22.75,14.5,2017-03-24 09:28:35
48,22.75,14.5,2017-03-24 09:38:09
47,22.9,14.4,2017-03-24 09:48:14
47,23.06,14.4,2017-03-24 09:58:19
47,23.06,20.1,2017-03-24 10:08:23
47,23.06,20.1,2017-03-24 10:18:26
47,23.06,20.6,2017-03-24 10:28:30
47,23.06,20.6,2017-03-24 10:38:34
47,23.06,21.4,2017-03-24 10:48:38
47,23.22,21.4,2017-03-24 10:58:44
46,23.22,22.8,2017-03-24 11:08:47
46,23.37,22.8,2017-03-24 11:18:20
46,23.37,23.6,2017-03-24 11:28:25
46,23.53,23.6,2017-03-24 11:38:28
46,23.22,23.5,2017-03-24 11:48:33
46,22.9,23.5,2017-03-24 11:58:37
46,22.59,18.2,2017-03-24 12:08:41
47,22.75,18.2,2017-03-24 12:18:45
47,22.75,14.6,2017-03-24 12:28:49
47,22.59,14.6,2017-03-24 12:38:22
46,22.43,13.1,2017-03-24 12:48:26
46,21.8,10.2,2017-03-24 12:58:31
47,21.49,9.3,2017-03-24 13:08:34
46,20.71,9.3,2017-03-24 13:18:38
47,20.55,7.4,2017-03-24 13:28:12
46,21.18,7.4,2017-03-24 13:38:16
46,21.65,5.9,2017-03-24 13:48:20
46,21.65,5.9,2017-03-24 13:58:23
46,21.49,5.0,2017-03-24 14:07:56
46,21.18,5.0,2017-03-24 14:18:00
46,21.02,4.1,2017-03-24 14:23:18
46,19.61,4.1,2017-03-24 14:27:27
46,19.45,3.8,2017-03-24 14:37:36
47,19.29,3.8,2017-03-24 14:47:46
47,19.14,3.0,2017-03-24 14:57:55
47,19.14,3.0,2017-03-24 15:07:34
47,18.82,2.5,2017-03-24 15:17:41
47,18.67,2.5,2017-03-24 15:27:49
47,18.67,2.4,2017-03-24 15:37:57
47,18.51,2.4,2017-03-24 15:47:07
47,18.51,4.1,2017-03-24 15:56:48
47,18.51,4.1,2017-03-24 16:06:58
47,18.35,9.0,2017-03-24 16:17:07
47,18.35,9.0,2017-03-24 16:27:17
47,18.2,12.0,2017-03-24 16:36:56
47,18.2,12.0,2017-03-24 16:47:07
47,18.2,14.0,2017-03-24 16:56:46
47,18.2,14.0,2017-03-24 17:06:24
47,18.04,17.0,2017-03-24 17:16:32
47,18.04,17.0,2017-03-24 17:26:40
47,18.04,17.6,2017-03-24 17:36:49
47,18.04,17.6,2017-03-24 17:46:57
47,17.88,18.0,2017-03-24 17:56:37
47,17.88,18.0,2017-03-24 18:06:47
47,17.88,19.2,2017-03-24 18:16:55
47,17.88,19.2,2017-03-24 18:27:04
47,17.73,20.0,2017-03-24 18:36:44
46,17.73,20.0,2017-03-24 18:46:54
46,17.73,20.3,2017-03-24 18:57:01
45,17.73,20.3,2017-03-24 19:07:09
45,17.73,20.0,2017-03-24 19:17:17
45,17.73,20.0,2017-03-24 19:26:56
46,17.73,19.0,2017-03-24 19:37:04
46,17.41,19.0,2017-03-24 19:47:13
46,17.41,14.0,2017-03-24 19:57:23
46,17.41,14.0,2017-03-24 20:07:31
46,17.41,13.0,2017-03-24 20:17:08
47,17.41,9.0,2017-03-24 20:27:18
47,17.41,9.0,2017-03-24 20:37:26
47,17.41,9.0,2017-03-24 20:47:33
47,17.41,14.0,2017-03-24 20:57:43
47,17.25,14.0,2017-03-24 21:07:20
47,17.25,6.0,2017-03-24 21:17:29
47,17.25,6.0,2017-03-24 21:27:37
47,17.25,6.0,2017-03-24 21:37:47
48,17.25,6.0,2017-03-24 21:47:27
48,17.25,6.0,2017-03-24 21:57:36
48,17.25,6.0,2017-03-24 22:07:44
48,17.25,3.0,2017-03-24 22:17:52
48,17.25,3.0,2017-03-24 22:28:01
48,17.25,5.0,2017-03-24 22:37:38
49,17.1,5.0,2017-03-24 22:47:46
49,17.1,3.0,2017-03-24 22:57:53
49,17.1,3.0,2017-03-24 23:08:05
49,17.1,8.6,2017-03-24 23:18:15
50,17.1,8.6,2017-03-24 23:27:53
50,17.1,6.0,2017-03-24 23:38:04
50,17.1,6.0,2017-03-24 23:48:11
50,17.1,10.9,2017-03-24 23:58:22
51,17.1,10.9,2017-03-25 00:58:41
51,17.25,15.0,2017-03-25 01:08:17
51,17.25,15.0,2017-03-25 01:18:27
51,17.41,16.6,2017-03-25 01:28:34
51,17.73,16.6,2017-03-25 01:38:42
51,18.04,20.0,2017-03-25 01:48:50
51,19.14,20.0,2017-03-25 01:58:28
51,19.76,21.0,2017-03-25 02:08:37
51,20.08,21.0,2017-03-25 02:18:45
51,20.08,22.0,2017-03-25 02:28:55
51,20.08,22.0,2017-03-25 02:39:04
51,20.08,22.0,2017-03-25 02:48:41
51,20.08,22.0,2017-03-25 02:58:51
51,20.08,22.0,2017-03-25 03:08:59
51,20.08,22.0,2017-03-25 03:19:06
51,20.08,22.7,2017-03-25 03:29:15
51,19.92,22.7,2017-03-25 03:38:55
51,19.92,21.0,2017-03-25 03:49:03
51,19.92,21.0,2017-03-25 03:59:11
51,19.92,21.0,2017-03-25 04:09:21
51,19.92,21.0,2017-03-25 04:18:58
52,19.76,16.8,2017-03-25 04:29:09
51,19.76,16.8,2017-03-25 04:39:16
51,19.76,14.7,2017-03-25 04:49:26
50,19.76,11.5,2017-03-25 04:59:35
50,19.45,11.5,2017-03-25 05:09:11
51,19.45,11.0,2017-03-25 05:19:20
49,19.45,11.0,2017-03-25 05:29:29
49,19.45,9.2,2017-03-25 05:39:37
47,19.45,9.2,2017-03-25 05:49:46
47,19.29,7.5,2017-03-25 05:59:23
47,19.29,7.5,2017-03-25 06:09:33
48,19.29,6.7,2017-03-25 06:19:40
48,19.29,6.7,2017-03-25 06:29:48
48,19.29,5.5,2017-03-25 06:39:27
48,19.14,5.5,2017-03-25 06:49:36
48,19.45,4.2,2017-03-25 06:59:44
48,20.71,4.2,2017-03-25 07:09:52
48,21.49,3.4,2017-03-25 07:19:59
48,22.27,3.4,2017-03-25 07:29:40
48,22.59,2.9,2017-03-25 07:39:48
48,22.9,2.9,2017-03-25 07:49:57
48,23.06,4.1,2017-03-25 08:00:07
48,23.06,4.1,2017-03-25 08:09:45
48,22.75,6.3,2017-03-25 08:19:54
48,22.43,6.3,2017-03-25 08:30:03
48,22.12,8.3,2017-03-25 08:40:14
48,21.49,8.3,2017-03-25 08:50:22
48,21.33,8.7,2017-03-25 08:59:58
48,21.33,8.7,2017-03-25 09:10:06
49,21.33,11.5,2017-03-25 09:20:15
49,21.49,11.5,2017-03-25 09:30:24
49,21.8,13.3,2017-03-25 09:40:32
49,21.96,13.3,2017-03-25 09:50:09
49,22.12,15.5,2017-03-25 10:00:18
49,22.12,15.5,2017-03-25 10:10:27
49,22.27,17.7,2017-03-25 10:20:36
49,22.27,17.7,2017-03-25 10:30:44
49,22.27,17.5,2017-03-25 10:40:24
49,22.43,17.5,2017-03-25 10:50:32
49,22.43,14.6,2017-03-25 11:00:41
49,22.43,14.6,2017-03-25 11:10:48
49,22.43,16.0,2017-03-25 11:20:28
49,22.43,16.0,2017-03-25 11:30:05
49,22.27,14.9,2017-03-25 11:39:43
49,21.96,14.9,2017-03-25 11:49:22
50,21.49,13.0,2017-03-25 11:58:30
50,21.18,13.0,2017-03-25 12:07:38
50,21.02,11.5,2017-03-25 12:17:17
50,18.67,3.6,2017-03-25 12:26:24
49,18.51,3.6,2017-03-25 12:35:32
49,18.51,2.5,2017-03-25 12:45:40
47,18.51,2.5,2017-03-25 12:55:18
45,18.51,1.9,2017-03-25 13:04:26
44,18.51,1.9,2017-03-25 13:13:34
43,18.2,2.2,2017-03-25 13:23:12
42,18.2,2.2,2017-03-25 13:32:20
42,18.2,2.4,2017-03-25 13:41:28
40,18.2,2.4,2017-03-25 13:51:10
41,18.2,2.5,2017-03-25 14:00:48
41,18.2,2.5,2017-03-25 14:10:56
40,18.04,1.8,2017-03-25 14:20:06
40,18.04,1.8,2017-03-25 14:29:46
40,18.04,1.2,2017-03-25 14:38:53
41,18.04,1.2,2017-03-25 14:48:01
42,17.88,1.0,2017-03-25 14:58:10
42,17.88,1.0,2017-03-25 15:07:50
42,17.88,2.5,2017-03-25 15:17:58
43,17.88,2.5,2017-03-25 15:27:36
44,17.88,4.4,2017-03-25 15:37:46
